10.200.150.2  domain domain Unknown_TCP_Service Unknown_TCP_Service
192.168.2.26  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.27  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.28  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.29  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.30  afpovertcp auth bgp chargen cmip-man daytime discard domain domain echo epmap epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldap ldaps ldp login microsoft-ds microsoft-ds moira-update netbios-ssn netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.31  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds microsoft-ds moira-update netbios-ssn netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.32  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service whois
192.168.2.33  afpovertcp auth bgp chargen cmip-man daytime discard domain domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.34  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.35  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.36  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.37  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.38  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.39  afpovertcp auth bgp chargen cmip-man daytime discard domain domain echo epmap epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.40  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.41  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.42  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.43  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.44  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.45  afpovertcp auth bgp chargen cmip-man daytime discard domain domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.46  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.47  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.48  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.49  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.50  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.51  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldap ldaps ldp login microsoft-ds microsoft-ds moira-update netbios-ssn netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.52  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.53  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service whois
192.168.2.54  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.55  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.56  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.57  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.58  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service whois
192.168.2.59  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.60  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.61  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.62  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.63  afpovertcp auth bgp chargen cmip-man daytime discard domain domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos kerberos-adm klogin kpasswd kshell ldap ldap ldaps ldp login microsoft-ds microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
192.168.2.64  afpovertcp auth bgp chargen cmip-man daytime discard domain echo epmap exec finger ftp ftp-data ftps gopher http https imap2 imaps ipp kerberos kerberos-adm klogin kpasswd kshell ldap ldaps ldp login microsoft-ds microsoft-ds moira-update netbios-ssn nntp nntps pop3 pop3s poppassd printer qotd rsync rtsp shell smtp smux snmp snpp spamd ssh submission submissions sunrpc svrloc tacacs tcpmux telnet telnets time Unknown_TCP_Port Unknown_TCP_Service Unknown_TCP_Service whois
